24 мар. 2026 23:26:25,722 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 9776, Time : 65, Current connections count : 1
24 мар. 2026 23:26:25,768 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 9776, Current connections count : 1
24 мар. 2026 23:26:26,352 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 9776, Current connections count : 1
24 мар. 2026 23:26:26,353 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 9776, Current connections count : 1
24 мар. 2026 23:26:26,431 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 9776, Current connections count : 1
24 мар. 2026 23:26:26,574 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 9776, Current connections count : 1
24 мар. 2026 23:26:26,575 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 9776, Current connections count : 1
24 мар. 2026 23:26:26,580 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 9776, Current connections count : 1
24 мар. 2026 23:26:26,581 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 9776, Current connections count : 1
24 мар. 2026 23:26:27,840 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 5256, Time : 94, Current connections count : 2
24 мар. 2026 23:26:27,862 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5256, Current connections count : 2
24 мар. 2026 23:26:27,863 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5256, Current connections count : 2
24 мар. 2026 23:26:27,868 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5256, Current connections count : 2
24 мар. 2026 23:26:27,869 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5256, Current connections count : 2
24 мар. 2026 23:26:27,874 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5256, Current connections count : 2
